OutTemp,RoomTemp,HeatState,HeatStateSince,StartTemp
-1.6,20.9,True,0.0,20.9
-1.6,20.8,True,10.0,20.9
-1.6,20.8,True,20.0,20.9
-1.6,20.8,True,30.0,20.9
-1.6,20.8,True,35.0,20.9
-1.7,20.8,True,40.0,20.9
-1.7,20.8,True,40.0,20.9
-1.6,20.8,True,43.0,20.9
-1.7,20.8,True,50.0,20.9
-1.7,20.8,True,56.0,20.9
-1.6,20.8,True,58.0,20.9
-1.7,20.8,True,60.0,20.9
-1.7,20.8,True,60.0,20.9
-1.6,20.8,True,66.0,20.9
-1.7,20.8,True,68.0,20.9
-1.6,20.8,True,70.0,20.9
-1.6,20.8,True,74.0,20.9
-1.7,20.8,True,76.0,20.9
-1.6,20.8,True,80.0,20.9
-1.6,20.8,True,90.0,20.9
-1.6,20.9,True,97.0,20.9
-1.7,20.9,True,99.0,20.9
-1.6,20.9,True,100.0,20.9
-1.6,20.9,True,110.0,20.9
-1.3,20.9,True,0.0,20.9
-1.4,20.9,True,0.0,20.9
-1.4,20.9,True,2.0,20.9
-1.3,20.9,True,10.0,20.9
-1.3,20.8,True,13.0,20.9
-1.4,20.9,True,20.0,20.9
-1.4,20.8,True,23.0,20.9
-1.3,20.8,True,30.0,20.9
-1.3,20.8,True,33.0,20.9
-1.4,20.8,True,36.0,20.9
-1.3,20.8,True,40.0,20.9
-1.3,20.8,True,41.0,20.9
-1.4,20.8,True,50.0,20.9
-1.4,20.8,True,58.0,20.9
-1.3,20.8,True,60.0,20.9
-1.3,20.8,True,61.0,20.9
-1.4,20.9,True,70.0,20.9
-1.4,20.9,True,75.0,20.9
-1.2,20.9,True,80.0,20.9
-1.2,20.9,True,83.0,20.9
-1.3,20.9,True,89.0,20.9
-1.2,20.9,True,90.0,20.9
-1.2,20.9,True,91.0,20.9
-1.3,21.0,True,98.0,20.9
-1.2,21.0,True,100.0,20.9
-1.2,21.1,True,104.0,20.9
-1.3,21.1,True,109.0,20.9
-1.2,21.1,True,110.0,20.9
-1.2,21.2,True,117.0,20.9
-1.3,21.2,True,119.0,20.9
-1.2,21.2,True,120.0,20.9
-1.4,21.0,True,0.0,21.0
-1.4,21.0,True,9.0,21.0
-1.5,21.0,True,10.0,21.0
-1.5,21.0,True,11.0,21.0
-1.4,21.0,True,14.0,21.0
-1.5,21.0,True,17.0,21.0
-1.4,21.0,True,19.0,21.0
-1.5,21.0,True,20.0,21.0
-1.5,21.0,True,21.0,21.0
-1.4,21.0,True,30.0,21.0
-1.4,21.0,True,39.0,21.0
-1.5,21.0,True,40.0,21.0
-1.5,21.0,True,44.0,21.0
-1.4,20.9,True,47.0,21.0
-1.5,20.9,True,50.0,21.0
-1.5,21.0,True,56.0,21.0
-1.4,21.0,True,60.0,21.0
-1.4,21.0,True,62.0,21.0
-1.5,20.9,True,70.0,21.0
-1.5,20.9,True,75.0,21.0
-1.4,20.9,True,80.0,21.0
-1.4,20.9,True,82.0,21.0
-1.3,20.9,True,87.0,21.0
-1.4,20.9,True,89.0,21.0
-1.3,20.9,True,90.0,21.0
-1.3,20.9,True,92.0,21.0
-1.4,20.9,True,100.0,21.0
-1.4,21.0,True,102.0,21.0
-1.5,21.0,True,105.0,21.0
-1.4,21.1,True,110.0,21.0
-1.4,21.1,True,112.0,21.0
-1.5,21.1,True,117.0,21.0
-1.4,21.1,True,120.0,21.0
-1.4,21.1,True,120.0,21.0
-1.3,21.1,True,125.0,21.0
-1.2,21.1,True,128.0,21.0
-0.1,21.0,True,0.0,21.0
-0.1,21.0,True,0.0,21.0
-0.2,21.0,True,10.0,21.0
-0.2,20.9,True,11.0,21.0
-0.3,20.9,True,18.0,21.0
-0.4,20.9,True,20.0,21.0
-0.4,20.9,True,23.0,21.0
-0.5,20.9,True,25.0,21.0
-0.4,20.9,True,28.0,21.0
-0.5,20.9,True,30.0,21.0
-0.5,20.9,True,34.0,21.0
-0.6,20.9,True,40.0,21.0
-0.6,20.9,True,50.0,21.0
-0.6,20.9,True,56.0,21.0
-0.5,20.9,True,60.0,21.0
-0.5,20.9,True,66.0,21.0
-0.6,20.9,True,68.0,21.0
-0.5,20.9,True,70.0,21.0
-0.5,20.9,True,70.0,21.0
-0.4,20.9,True,80.0,21.0
-0.4,20.9,True,81.0,21.0
-0.3,20.9,True,84.0,21.0
-0.4,20.9,True,87.0,21.0
-0.3,20.9,True,90.0,21.0
-0.3,20.9,True,92.0,21.0
-0.2,20.9,True,94.0,21.0
-0.3,20.9,True,100.0,21.0
-0.3,20.9,True,110.0,21.0
-0.3,20.9,True,114.0,21.0
-0.2,20.9,True,116.0,21.0
-0.3,20.9,True,119.0,21.0
-0.1,20.9,True,120.0,21.0
-0.1,20.9,True,127.0,21.0
1.3,21.6,True,850.0,21.0
1.3,21.6,True,860.0,21.0
1.3,21.6,True,870.0,21.0
1.3,21.6,True,880.0,21.0
1.3,21.6,True,885.0,21.0
1.2,21.6,True,887.0,21.0
1.3,21.6,True,890.0,21.0
1.3,21.6,True,892.0,21.0
1.2,21.6,True,900.0,21.0
1.2,21.6,True,902.0,21.0
1.1,21.6,True,906.0,21.0
1.2,21.6,True,909.0,21.0
1.1,21.6,True,910.0,21.0
1.1,21.6,True,920.0,21.0
1.2,20.8,True,0.0,20.8
1.2,20.8,True,9.0,20.8
1.3,20.8,True,10.0,20.8
1.3,20.8,True,17.0,20.8
1.2,20.8,True,20.0,20.8
1.2,20.8,True,30.0,20.8
1.2,20.8,True,40.0,20.8
1.2,20.8,True,43.0,20.8
1.1,20.8,True,50.0,20.8
1.1,20.8,True,60.0,20.8
1.1,20.8,True,61.0,20.8
1.0,20.8,True,70.0,20.8
1.0,20.8,True,73.0,20.8
0.9,20.8,True,78.0,20.8
0.8,20.8,True,80.0,20.8
0.8,20.8,True,81.0,20.8
0.7,20.8,True,83.0,20.8
0.6,20.8,True,85.0,20.8
0.7,20.8,True,88.0,20.8
0.6,20.8,True,90.0,20.8
0.6,20.8,True,93.0,20.8
0.5,20.8,True,100.0,20.8
0.5,20.8,True,101.0,20.8
0.4,20.8,True,103.0,20.8
0.5,20.9,True,110.0,20.8
0.5,20.9,True,110.0,20.8
0.6,20.9,True,120.0,20.8
-1.8,20.8,True,0.0,20.8
-1.9,20.8,True,1.0,20.8
-1.9,20.8,True,11.0,20.8
-1.9,20.7,True,21.0,20.8
-1.9,20.7,True,31.0,20.8
-1.9,20.7,True,41.0,20.8
-1.9,20.7,True,45.0,20.8
-2.0,20.7,True,51.0,20.8
-2.0,20.7,True,61.0,20.8
-2.0,20.7,True,70.0,20.8
-1.9,20.7,True,71.0,20.8
-1.9,20.7,True,81.0,20.8
-1.9,20.7,True,85.0,20.8
-1.8,20.7,True,88.0,20.8
-1.9,20.8,True,91.0,20.8
-1.9,20.9,True,98.0,20.8
-1.8,20.9,True,101.0,20.8
-1.8,20.9,True,111.0,20.8
-1.8,20.9,True,121.0,20.8
-1.8,20.9,True,121.0,20.8
-5.3,20.7,True,0.0,20.7
-5.2,20.7,True,2.0,20.7
-5.3,20.7,True,9.0,20.7
-5.2,20.7,True,17.0,20.7
-5.3,20.7,True,19.0,20.7
-5.4,20.7,True,25.0,20.7
-5.5,20.7,True,29.0,20.7
-5.4,20.6,True,32.0,20.7
-5.6,20.6,True,35.0,20.7
-5.5,20.6,True,38.0,20.7
-5.4,20.6,True,50.0,20.7
-5.3,20.6,True,53.0,20.7
-5.2,20.6,True,65.0,20.7
-5.1,20.6,True,73.0,20.7
-4.9,20.6,True,84.0,20.7
-4.8,20.6,True,86.0,20.7
-4.6,20.6,True,88.0,20.7
-4.5,20.6,True,96.0,20.7
-4.4,20.6,True,104.0,20.7
-4.3,20.6,True,106.0,20.7
-4.4,20.6,True,109.0,20.7
-6.6,20.8,True,0.0,20.8
-6.7,20.8,True,9.0,20.8
-6.6,20.8,True,20.0,20.8
-6.5,20.8,True,22.0,20.8
-6.6,20.8,True,30.0,20.8
-6.8,20.8,True,32.0,20.8
-6.9,20.7,True,34.0,20.8
-7.0,20.8,True,37.0,20.8
-7.1,20.8,True,40.0,20.8
-7.0,20.7,True,60.0,20.8
-6.8,20.7,True,63.0,20.8
-6.6,20.7,True,65.0,20.8
-6.4,20.8,True,68.0,20.8
-6.2,20.8,True,76.0,20.8
-6.1,20.8,True,88.0,20.8
-5.9,20.8,True,91.0,20.8
-5.8,20.8,True,94.0,20.8
-5.7,20.8,True,96.0,20.8
0.0,20.3,True,0.0,20.3
0.0,20.3,True,10.0,20.3
0.0,20.2,True,20.0,20.3
0.0,20.2,True,24.0,20.3
0.1,20.2,True,30.0,20.3
0.1,20.2,True,40.0,20.3
0.1,20.2,True,42.0,20.3
0.2,20.2,True,50.0,20.3
0.2,20.2,True,57.0,20.3
0.3,20.3,True,60.0,20.3
0.3,20.2,True,65.0,20.3
0.4,20.4,True,70.0,20.3
0.4,20.4,True,70.0,20.3
0.5,20.4,True,80.0,20.3
0.5,20.5,True,90.0,20.3
0.5,20.6,True,92.0,20.3
0.6,20.6,True,94.0,20.3
0.5,20.6,True,100.0,20.3
0.5,20.6,True,100.0,20.3
0.6,20.6,True,103.0,20.3
0.7,20.6,True,110.0,20.3
0.7,20.7,True,120.0,20.3
0.7,20.7,True,121.0,20.3
0.8,20.7,True,123.0,20.3
2.2,21.9,True,0.0,21.9
2.3,21.9,True,2.0,21.9
2.2,21.9,True,5.0,21.9
2.2,21.8,True,15.0,21.9
2.2,21.8,True,25.0,21.9
2.2,21.8,True,33.0,21.9
2.1,21.8,True,35.0,21.9
2.1,21.9,True,45.0,21.9
2.1,22.1,True,48.0,21.9
2.0,22.2,True,55.0,21.9
0.0,20.9,True,0.0,20.9
0.0,20.9,True,10.0,20.9
0.0,20.9,True,20.0,20.9
0.0,20.9,True,30.0,20.9
0.0,20.9,True,40.0,20.9
0.0,20.9,True,50.0,20.9
0.0,20.9,True,60.0,20.9
0.0,20.8,True,70.0,20.9
0.0,20.9,True,80.0,20.9
0.0,20.9,True,90.0,20.9
0.0,20.9,True,96.0,20.9
0.1,20.8,True,100.0,20.9
0.1,20.9,True,102.0,20.9
0.0,20.8,True,104.0,20.9
0.1,20.9,True,109.0,20.9
0.2,20.9,True,110.0,20.9
0.2,20.8,True,112.0,20.9
0.1,20.8,True,114.0,20.9
0.2,20.9,True,120.0,20.9
-0.8,22.0,True,850.0,20.9
-0.8,22.1,True,860.0,20.9
-0.8,22.1,True,870.0,20.9
-0.8,22.2,True,880.0,20.9
-1.3,21.0,True,0.0,21.0
-1.3,21.0,True,10.0,21.0
-1.3,21.0,True,14.0,21.0
-1.2,21.0,True,19.0,21.0
-1.3,21.0,True,20.0,21.0
-1.3,21.0,True,22.0,21.0
-1.2,21.1,True,29.0,21.0
-1.3,21.1,True,30.0,21.0
-1.3,21.3,True,40.0,21.0
-1.3,21.3,True,40.0,21.0
-1.4,21.4,True,48.0,21.0
-1.5,21.5,True,50.0,21.0
-1.5,21.5,True,52.0,21.0
-1.6,21.6,True,57.0,21.0
-1.5,21.6,True,60.0,21.0
-1.5,21.6,True,62.0,21.0
-1.4,21.8,True,70.0,21.0
-1.4,21.9,True,80.0,21.0
-1.4,21.9,True,80.0,21.0
-1.3,22.0,True,87.0,21.0
-1.4,21.9,True,90.0,21.0
-1.4,21.9,True,90.0,21.0
-1.3,22.0,True,97.0,21.0
-1.2,22.0,True,100.0,21.0
-1.2,22.0,True,110.0,21.0
-1.2,21.8,True,118.0,21.0
-1.3,21.8,True,120.0,21.0
-1.3,21.8,True,121.0,21.0
-3.0,20.8,True,0.0,20.8
-3.0,20.8,True,10.0,20.8
-3.0,20.8,True,13.0,20.8
-3.1,20.8,True,19.0,20.8
-3.0,20.8,True,20.0,20.8
-3.0,20.8,True,23.0,20.8
-3.1,20.7,True,26.0,20.8
-3.2,20.7,True,29.0,20.8
-3.1,20.7,True,30.0,20.8
-3.1,20.7,True,31.0,20.8
-3.2,20.7,True,40.0,20.8
-3.2,20.7,True,41.0,20.8
-3.3,20.7,True,43.0,20.8
-3.2,20.7,True,50.0,20.8
-3.2,20.7,True,54.0,20.8
-3.1,20.7,True,56.0,20.8
-3.2,20.7,True,60.0,20.8
-3.2,20.7,True,62.0,20.8
-3.3,20.7,True,69.0,20.8
-3.4,20.7,True,70.0,20.8
-3.4,20.7,True,72.0,20.8
-3.5,20.7,True,74.0,20.8
-3.3,20.7,True,77.0,20.8
-3.4,20.7,True,80.0,20.8
-3.4,20.7,True,85.0,20.8
-3.5,20.7,True,90.0,20.8
-3.5,20.7,True,100.0,20.8
-3.5,20.7,True,105.0,20.8
-3.4,20.7,True,107.0,20.8
-3.5,20.8,True,110.0,20.8
-3.5,20.8,True,110.0,20.8
-3.4,20.7,True,117.0,20.8
-3.3,20.8,True,120.0,20.8
-3.3,20.8,True,120.0,20.8
-3.4,20.8,True,127.0,20.8
-2.8,20.8,True,0.0,20.8
-2.8,20.8,True,0.0,20.8
-2.7,20.8,True,10.0,20.8
-2.7,20.7,True,20.0,20.8
-2.7,20.7,True,23.0,20.8
-2.8,20.7,True,30.0,20.8
-2.8,20.7,True,40.0,20.8
-2.8,20.7,True,49.0,20.8
-2.9,20.7,True,50.0,20.8
-2.9,20.7,True,53.0,20.8
-2.8,20.7,True,56.0,20.8
-2.9,20.7,True,58.0,20.8
-2.8,20.7,True,60.0,20.8
-2.8,20.7,True,61.0,20.8
-2.9,20.7,True,64.0,20.8
-2.8,20.7,True,70.0,20.8
-2.8,20.7,True,80.0,20.8
-2.8,20.7,True,83.0,20.8
-2.9,20.7,True,86.0,20.8
-2.8,20.7,True,89.0,20.8
-2.9,20.7,True,90.0,20.8
-2.9,20.7,True,100.0,20.8
-2.9,20.7,True,104.0,20.8
-3.0,20.7,True,106.0,20.8
-2.9,20.8,True,110.0,20.8
-2.9,20.8,True,114.0,20.8
-2.8,20.8,True,120.0,20.8
-2.8,20.9,True,127.0,20.8
-2.7,20.9,True,129.0,20.8
-1.6,21.8,True,0.0,21.8
-1.6,21.8,True,10.0,21.8
-1.6,21.9,True,20.0,21.8
-1.6,21.9,True,30.0,21.8
-1.6,22.0,True,36.0,21.8
-1.5,22.0,True,39.0,21.8
-1.6,22.0,True,40.0,21.8
-2.9,20.6,True,0.0,20.6
-2.9,20.6,True,7.0,20.6
-3.0,20.6,True,10.0,20.6
-3.0,20.6,True,20.0,20.6
-3.0,20.6,True,29.0,20.6
-2.9,20.6,True,30.0,20.6
-2.9,20.5,True,40.0,20.6
-2.9,20.6,True,45.0,20.6
-2.8,20.6,True,50.0,20.6
-2.8,20.5,True,60.0,20.6
-2.8,20.5,True,61.0,20.6
-2.7,20.6,True,63.0,20.6
-2.8,20.6,True,65.0,20.6
-2.7,20.5,True,70.0,20.6
-2.7,20.5,True,78.0,20.6
-2.8,20.5,True,80.0,20.6
-2.8,20.6,True,86.0,20.6
-2.7,20.6,True,88.0,20.6
-2.8,20.7,True,90.0,20.6
-2.8,20.7,True,91.0,20.6
-2.7,20.8,True,93.0,20.6
-2.8,20.8,True,100.0,20.6
-2.8,20.9,True,106.0,20.6
-2.9,21.0,True,110.0,20.6
-2.6,20.8,True,0.0,20.8
-2.7,20.8,True,3.0,20.8
-2.6,20.8,True,4.0,20.8
-2.6,20.8,True,5.0,20.8
-2.7,20.8,True,14.0,20.8
-2.7,20.8,True,24.0,20.8
-2.7,20.8,True,33.0,20.8
-2.8,20.8,True,34.0,20.8
-2.8,20.8,True,35.0,20.8
-2.7,20.8,True,38.0,20.8
-2.8,20.7,True,44.0,20.8
-2.8,20.7,True,54.0,20.8
-2.9,20.7,True,54.0,20.8
-2.9,20.7,True,64.0,20.8
-2.9,20.7,True,66.0,20.8
-2.8,20.7,True,68.0,20.8
-2.9,20.7,True,71.0,20.8
-2.8,20.7,True,74.0,20.8
-2.9,20.7,True,74.0,20.8
-2.9,20.7,True,76.0,20.8
-2.8,20.7,True,79.0,20.8
-2.9,20.8,True,84.0,20.8
-2.9,20.7,True,86.0,20.8
-3.0,20.8,True,94.0,20.8
-3.0,20.7,True,96.0,20.8
-2.9,20.8,True,104.0,20.8
-2.9,20.8,True,112.0,20.8
-3.0,20.8,True,114.0,20.8
-4.0,20.7,True,0.0,20.7
-4.1,20.7,True,2.0,20.7
-4.0,20.7,True,5.0,20.7
-4.1,20.7,True,7.0,20.7
-4.1,20.7,True,17.0,20.7
-4.1,20.7,True,25.0,20.7
-4.2,20.7,True,27.0,20.7
-4.2,20.6,True,32.0,20.7
-4.1,20.6,True,35.0,20.7
-4.2,20.6,True,37.0,20.7
-4.2,20.6,True,47.0,20.7
-4.2,20.6,True,48.0,20.7
-4.3,20.6,True,50.0,20.7
-4.2,20.6,True,57.0,20.7
-4.2,20.6,True,58.0,20.7
-4.3,20.6,True,61.0,20.7
-4.2,20.6,True,63.0,20.7
-4.3,20.6,True,66.0,20.7
-4.2,20.6,True,67.0,20.7
-4.2,20.6,True,77.0,20.7
-4.2,20.6,True,78.0,20.7
-4.1,20.6,True,81.0,20.7
-4.2,20.6,True,87.0,20.7
-4.2,20.6,True,96.0,20.7
-4.3,20.6,True,97.0,20.7
-4.3,20.6,True,101.0,20.7
-4.2,20.6,True,106.0,20.7
-4.3,20.6,True,107.0,20.7
-4.3,20.6,True,108.0,20.7
-4.2,20.6,True,117.0,20.7
-4.2,20.6,True,126.0,20.7
-4.1,20.6,True,127.0,20.7
-4.1,20.7,True,134.0,20.7
-4.5,20.8,True,0.0,20.8
-4.6,20.7,True,0.0,20.8
-4.6,20.7,True,9.0,20.8
-4.7,20.7,True,10.0,20.8
-4.7,20.7,True,20.0,20.8
-4.8,20.7,True,20.0,20.8
-4.8,20.7,True,30.0,20.8
-4.8,20.6,True,40.0,20.8
-5.0,20.6,True,40.0,20.8
-5.0,20.7,True,43.0,20.8
-5.1,20.7,True,45.0,20.8
-5.0,20.6,True,50.0,20.8
-5.0,20.6,True,55.0,20.8
-5.1,20.6,True,57.0,20.8
-5.2,20.7,True,60.0,20.8
-5.2,20.6,True,70.0,20.8
-5.1,20.6,True,70.0,20.8
-5.1,20.7,True,73.0,20.8
-5.2,20.7,True,80.0,20.8
-5.2,20.7,True,86.0,20.8
-5.3,20.8,True,90.0,20.8
-5.3,20.7,True,93.0,20.8
-5.4,20.7,True,96.0,20.8
-5.3,20.7,True,99.0,20.8
-5.4,20.8,True,100.0,20.8
-5.4,20.8,True,110.0,20.8
-5.4,20.8,True,114.0,20.8
-5.3,20.8,True,116.0,20.8
-5.4,20.8,True,119.0,20.8
-5.3,20.8,True,120.0,20.8
-5.3,20.8,True,126.0,20.8
-5.4,20.8,True,128.0,20.8
-9.9,20.3,True,0.0,20.3
-10.0,20.3,True,10.0,20.3
-10.1,20.2,True,24.0,20.3
-10.2,20.2,True,26.0,20.3
-10.1,20.2,True,34.0,20.3
-10.2,20.2,True,43.0,20.3
-10.1,20.2,True,45.0,20.3
-10.2,20.2,True,52.0,20.3
-10.1,20.2,True,58.0,20.3
-10.2,20.2,True,60.0,20.3
-10.1,20.2,True,66.0,20.3
-10.2,20.2,True,70.0,20.3
-10.3,20.2,True,72.0,20.3
-10.2,20.2,True,75.0,20.3
-10.3,20.2,True,78.0,20.3
-10.4,20.2,True,80.0,20.3
-10.3,20.2,True,82.0,20.3
-10.4,20.2,True,88.0,20.3
-10.3,20.2,True,91.0,20.3
-10.2,20.2,True,93.0,20.3
-10.3,20.2,True,99.0,20.3
-10.3,20.3,True,102.0,20.3
-10.2,20.4,True,111.0,20.3
-10.1,20.5,True,121.0,20.3
-10.0,20.5,True,128.0,20.3
-12.7,20.4,True,0.0,20.4
-12.7,20.4,True,6.0,20.4
-12.6,20.3,True,10.0,20.4
-12.6,20.3,True,14.0,20.4
-12.7,20.3,True,17.0,20.4
-12.6,20.3,True,19.0,20.4
-12.7,20.3,True,20.0,20.4
-12.7,20.3,True,21.0,20.4
-12.6,20.3,True,30.0,20.4
-12.6,20.3,True,34.0,20.4
-12.7,20.2,True,40.0,20.4
-12.7,20.2,True,50.0,20.4
-12.7,20.2,True,53.0,20.4
-12.8,20.2,True,60.0,20.4
-12.8,20.3,True,64.0,20.4
-12.9,20.3,True,70.0,20.4
-12.9,20.4,True,74.0,20.4
-13.0,20.4,True,80.0,20.4
-13.0,20.5,True,82.0,20.4
-12.9,20.6,True,90.0,20.4
-12.9,20.6,True,94.0,20.4
-12.8,20.6,True,97.0,20.4
-12.9,20.7,True,100.0,20.4
-12.9,20.8,True,105.0,20.4
-12.8,20.8,True,110.0,20.4
-12.8,20.8,True,117.0,20.4
-12.7,20.8,True,120.0,20.4
-12.7,20.7,True,125.0,20.4
-11.5,20.2,True,0.0,20.2
-11.6,20.2,True,7.0,20.2
-11.6,20.2,True,10.0,20.2
-11.7,20.2,True,12.0,20.2
-11.6,20.1,True,17.0,20.2
-11.7,20.1,True,17.0,20.2
-11.7,20.1,True,27.0,20.2
-11.7,20.1,True,37.0,20.2
-11.7,20.1,True,45.0,20.2
-11.8,20.1,True,47.0,20.2
-11.8,20.1,True,50.0,20.2
-11.7,20.1,True,57.0,20.2
-11.7,20.0,True,66.0,20.2
-11.8,20.0,True,67.0,20.2
-11.8,20.0,True,77.0,20.2
-11.8,20.0,True,78.0,20.2
-11.9,20.0,True,87.0,20.2
-11.9,20.0,True,97.0,20.2
-11.9,20.0,True,107.0,20.2
-11.9,20.0,True,115.0,20.2
-11.8,20.0,True,117.0,20.2
-11.8,20.0,True,121.0,20.2
-11.9,20.0,True,124.0,20.2
-11.7,20.0,True,127.0,20.2
-11.7,20.0,True,128.0,20.2
-11.8,20.0,True,136.0,20.2
-10.1,22.1,True,857.0,20.2
-10.1,22.2,True,867.0,20.2
-14.5,20.2,True,0.0,20.2
-14.4,20.2,True,5.0,20.2
-14.5,20.2,True,7.0,20.2
-14.4,20.2,True,7.0,20.2
-14.4,20.2,True,9.0,20.2
-14.5,20.2,True,17.0,20.2
-14.5,20.2,True,22.0,20.2
-14.3,20.2,True,27.0,20.2
-14.3,20.2,True,28.0,20.2
-14.4,20.2,True,32.0,20.2
-14.5,20.2,True,37.0,20.2
-14.5,20.1,True,40.0,20.2
-14.4,20.1,True,42.0,20.2
-14.3,20.1,True,45.0,20.2
-14.1,20.1,True,47.0,20.2
-14.1,20.1,True,50.0,20.2
-14.2,20.1,True,52.0,20.2
-14.1,20.1,True,54.0,20.2
-14.2,20.1,True,57.0,20.2
-14.3,20.1,True,57.0,20.2
-14.3,20.1,True,67.0,20.2
-14.3,20.1,True,67.0,20.2
-14.2,20.1,True,70.0,20.2
-14.1,20.1,True,77.0,20.2
-14.1,20.1,True,78.0,20.2
-14.0,20.1,True,81.0,20.2
-14.1,20.1,True,87.0,20.2
-14.1,20.0,True,97.0,20.2
-14.1,20.1,True,101.0,20.2
-14.0,20.1,True,106.0,20.2
-13.8,20.1,True,107.0,20.2
-13.8,20.1,True,110.0,20.2
-13.7,20.1,True,113.0,20.2
-13.6,20.1,True,117.0,20.2
-10.2,21.9,True,0.0,21.9
-10.3,21.9,True,5.0,21.9
-10.4,21.9,True,6.0,21.9
-10.4,21.8,True,10.0,21.9
-10.5,21.8,True,16.0,21.9
-10.5,21.8,True,20.0,21.9
-10.6,21.8,True,26.0,21.9
-10.6,21.8,True,33.0,21.9
-10.7,21.8,True,36.0,21.9
-11.8,19.6,True,0.0,19.6
-11.8,19.6,True,6.0,19.6
-11.7,19.6,True,10.0,19.6
-11.7,19.6,True,11.0,19.6
-11.6,19.6,True,13.0,19.6
-11.7,19.6,True,20.0,19.6
-11.7,19.6,True,30.0,19.6
-11.7,19.6,True,32.0,19.6
-11.8,19.6,True,36.0,19.6
-11.7,19.6,True,39.0,19.6
-11.8,19.6,True,40.0,19.6
-11.8,19.5,True,49.0,19.6
-11.9,19.5,True,50.0,19.6
-11.9,19.5,True,60.0,19.6
-11.9,19.5,True,70.0,19.6
-11.9,19.5,True,74.0,19.6
-12.0,19.5,True,80.0,19.6
-12.0,19.5,True,80.0,19.6
-11.9,19.5,True,82.0,19.6
-12.0,19.5,True,84.0,19.6
-11.9,19.5,True,87.0,19.6
-12.0,19.6,True,89.0,19.6
-11.9,19.6,True,90.0,19.6
-11.9,19.6,True,100.0,19.6
-11.9,19.6,True,102.0,19.6
-11.8,19.6,True,107.0,19.6
-11.7,19.6,True,110.0,19.6
-7.2,21.9,True,529.0,20.0
-7.3,22.0,True,534.0,20.0
-7.4,22.0,True,539.0,20.0
-7.4,22.0,True,539.0,20.0
-7.5,22.0,True,549.0,20.0
-7.5,22.0,True,552.0,20.0
-7.6,22.1,True,554.0,20.0
-7.7,22.1,True,559.0,20.0
-7.7,22.1,True,559.0,20.0
